T_C,efficiency_%,cell_voltage_V,fuel_g_per_s
15.0,69.5947,0.77527,0.399407
16.0,69.6045,0.77539,0.399346
17.0,69.6143,0.77551,0.399284
18.0,69.6241,0.77563,0.399223
19.0,69.6339,0.77575,0.399161
20.0,69.6437,0.77586,0.399100
21.0,69.6535,0.77598,0.399038
22.0,69.6633,0.77610,0.398977
23.0,69.6731,0.77622,0.398915
24.0,69.6830,0.77634,0.398854
25.0,69.6928,0.77646,0.398793
26.0,69.7026,0.77658,0.398732
27.0,69.7124,0.77670,0.398670
28.0,69.7222,0.77682,0.398609
29.0,69.7321,0.77694,0.398548
30.0,69.7419,0.77706,0.398487
31.0,69.7517,0.77718,0.398426
32.0,69.7615,0.77730,0.398365
33.0,69.7714,0.77741,0.398304
34.0,69.7812,0.77753,0.398243
35.0,69.7910,0.77765,0.398182
36.0,69.8009,0.77777,0.398121
37.0,69.8107,0.77789,0.398060
38.0,69.8206,0.77801,0.397999
39.0,69.8304,0.77813,0.397938
40.0,69.8402,0.77825,0.397878
41.0,69.8501,0.77837,0.397817
42.0,69.8599,0.77849,0.397756
43.0,69.8698,0.77860,0.397695
44.0,69.8796,0.77872,0.397635
45.0,69.8895,0.77884,0.397574
46.0,69.8993,0.77896,0.397514
47.0,69.9092,0.77908,0.397453
48.0,69.9191,0.77920,0.397392
49.0,69.9289,0.77932,0.397332
50.0,69.9388,0.77943,0.397271
51.0,69.9486,0.77955,0.397211
52.0,69.9585,0.77967,0.397151
53.0,69.9684,0.77979,0.397090
54.0,69.9783,0.77991,0.397030
55.0,69.9881,0.78003,0.396970
56.0,69.9980,0.78015,0.396909
57.0,70.0079,0.78026,0.396849
58.0,70.0178,0.78038,0.396789
59.0,70.0276,0.78050,0.396729
60.0,70.0375,0.78062,0.396669
61.0,70.0474,0.78074,0.396608
62.0,70.0573,0.78086,0.396548
63.0,70.0672,0.78097,0.396488
64.0,70.0771,0.78109,0.396428
65.0,70.0870,0.78121,0.396368
66.0,70.0969,0.78133,0.396308
67.0,70.1068,0.78145,0.396248
68.0,70.1167,0.78157,0.396188
69.0,70.1266,0.78168,0.396129
70.0,70.1365,0.78180,0.396069
71.0,70.1464,0.78192,0.396009
72.0,70.1563,0.78204,0.395949
73.0,70.1662,0.78216,0.395889
74.0,70.1761,0.78227,0.395830
75.0,70.1860,0.78239,0.395770
76.0,70.1960,0.78251,0.395710
77.0,70.2059,0.78263,0.395650
78.0,70.2158,0.78275,0.395591
79.0,70.2257,0.78286,0.395531
80.0,70.2356,0.78298,0.395472
81.0,70.2456,0.78310,0.395412
82.0,70.2555,0.78322,0.395353
83.0,70.2654,0.78334,0.395293
84.0,70.2754,0.78345,0.395234
85.0,70.2853,0.78357,0.395174
86.0,70.2953,0.78369,0.395115
87.0,70.3052,0.78381,0.395055
88.0,70.3152,0.78393,0.394996
89.0,70.3251,0.78404,0.394937
90.0,70.3351,0.78416,0.394877
91.0,70.3450,0.78428,0.394818
92.0,70.3550,0.78440,0.394759
93.0,70.3649,0.78451,0.394700
94.0,70.3749,0.78463,0.394640
95.0,70.3849,0.78475,0.394581
96.0,70.3948,0.78487,0.394522
97.0,70.4048,0.78498,0.394463
98.0,70.4148,0.78510,0.394404
99.0,70.4247,0.78522,0.394345
100.0,70.4347,0.78534,0.394286
101.0,70.4447,0.78545,0.394227
102.0,70.4547,0.78557,0.394168
103.0,70.4647,0.78569,0.394109
104.0,70.4746,0.78581,0.394050
105.0,70.4846,0.78592,0.393991
