T_C,efficiency_%,cell_voltage_V,fuel_g_per_s
15.0,62.0762,0.81851,0.134354
16.0,62.0583,0.81831,0.134387
17.0,62.0404,0.81811,0.134421
18.0,62.0225,0.81791,0.134454
19.0,62.0046,0.81770,0.134487
20.0,61.9866,0.81750,0.134521
21.0,61.9687,0.81730,0.134554
22.0,61.9508,0.81709,0.134588
23.0,61.9328,0.81689,0.134621
24.0,61.9148,0.81669,0.134655
25.0,61.8969,0.81648,0.134688
26.0,61.8789,0.81628,0.134722
27.0,61.8609,0.81608,0.134756
28.0,61.8429,0.81587,0.134789
29.0,61.8249,0.81567,0.134823
30.0,61.8069,0.81546,0.134857
31.0,61.7889,0.81526,0.134890
32.0,61.7708,0.81506,0.134924
33.0,61.7528,0.81485,0.134958
34.0,61.7348,0.81465,0.134992
35.0,61.7167,0.81444,0.135026
36.0,61.6987,0.81424,0.135060
37.0,61.6806,0.81403,0.135094
38.0,61.6625,0.81383,0.135128
39.0,61.6445,0.81362,0.135162
40.0,61.6264,0.81342,0.135196
41.0,61.6083,0.81321,0.135230
42.0,61.5902,0.81300,0.135265
43.0,61.5721,0.81280,0.135299
44.0,61.5540,0.81259,0.135333
45.0,61.5359,0.81239,0.135367
46.0,61.5177,0.81218,0.135402
47.0,61.4996,0.81197,0.135436
48.0,61.4815,0.81177,0.135471
49.0,61.4633,0.81156,0.135505
50.0,61.4452,0.81136,0.135540
51.0,61.4270,0.81115,0.135574
52.0,61.4089,0.81094,0.135609
53.0,61.3907,0.81074,0.135643
54.0,61.3725,0.81053,0.135678
55.0,61.3543,0.81032,0.135712
56.0,61.3361,0.81011,0.135747
57.0,61.3179,0.80991,0.135782
58.0,61.2997,0.80970,0.135817
59.0,61.2815,0.80949,0.135852
60.0,61.2633,0.80928,0.135886
61.0,61.2451,0.80908,0.135921
62.0,61.2269,0.80887,0.135956
63.0,61.2086,0.80866,0.135991
64.0,61.1904,0.80845,0.136026
65.0,61.1721,0.80824,0.136061
66.0,61.1539,0.80804,0.136096
67.0,61.1356,0.80783,0.136131
68.0,61.1173,0.80762,0.136166
69.0,61.0991,0.80741,0.136202
70.0,61.0808,0.80720,0.136237
71.0,61.0625,0.80699,0.136272
72.0,61.0442,0.80679,0.136307
73.0,61.0259,0.80658,0.136343
74.0,61.0076,0.80637,0.136378
75.0,60.9893,0.80616,0.136413
76.0,60.9710,0.80595,0.136449
77.0,60.9527,0.80574,0.136484
78.0,60.9343,0.80553,0.136520
79.0,60.9160,0.80532,0.136555
80.0,60.8977,0.80511,0.136591
81.0,60.8793,0.80490,0.136626
82.0,60.8610,0.80469,0.136662
83.0,60.8426,0.80448,0.136698
84.0,60.8243,0.80427,0.136733
85.0,60.8059,0.80406,0.136769
86.0,60.7875,0.80385,0.136805
87.0,60.7691,0.80364,0.136841
88.0,60.7508,0.80343,0.136877
89.0,60.7324,0.80322,0.136913
90.0,60.7140,0.80301,0.136948
91.0,60.6956,0.80280,0.136984
92.0,60.6772,0.80259,0.137020
93.0,60.6587,0.80238,0.137056
94.0,60.6403,0.80216,0.137093
95.0,60.6219,0.80195,0.137129
96.0,60.6035,0.80174,0.137165
97.0,60.5850,0.80153,0.137201
98.0,60.5666,0.80132,0.137237
99.0,60.5482,0.80111,0.137273
100.0,60.5297,0.80090,0.137310
101.0,60.5113,0.80068,0.137346
102.0,60.4928,0.80047,0.137382
103.0,60.4743,0.80026,0.137419
104.0,60.4559,0.80005,0.137455
105.0,60.4374,0.79984,0.137492
106.0,60.4189,0.79962,0.137528
107.0,60.4004,0.79941,0.137565
108.0,60.3819,0.79920,0.137601
109.0,60.3634,0.79899,0.137638
110.0,60.3449,0.79877,0.137674
111.0,60.3264,0.79856,0.137711
112.0,60.3079,0.79835,0.137748
113.0,60.2894,0.79814,0.137784
114.0,60.2709,0.79792,0.137821
115.0,60.2523,0.79771,0.137858
116.0,60.2338,0.79750,0.137895
117.0,60.2153,0.79728,0.137932
118.0,60.1967,0.79707,0.137969
119.0,60.1782,0.79686,0.138006
120.0,60.1596,0.79664,0.138043
121.0,60.1411,0.79643,0.138080
122.0,60.1225,0.79622,0.138117
123.0,60.1040,0.79600,0.138154
124.0,60.0854,0.79579,0.138191
125.0,60.0668,0.79557,0.138228
126.0,60.0482,0.79536,0.138265
127.0,60.0297,0.79515,0.138303
128.0,60.0111,0.79493,0.138340
129.0,59.9925,0.79472,0.138377
130.0,59.9739,0.79450,0.138414
131.0,59.9553,0.79429,0.138452
132.0,59.9367,0.79407,0.138489
133.0,59.9181,0.79386,0.138527
134.0,59.8995,0.79364,0.138564
135.0,59.8808,0.79343,0.138602
136.0,59.8622,0.79321,0.138639
137.0,59.8436,0.79300,0.138677
138.0,59.8249,0.79278,0.138714
